01:43.722  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:44.119  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:44.507  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:44.900  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:45.302  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:45.685  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:46.106  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:46.493  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:46.895  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:47.291  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:47.689  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:48.089  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:48.487  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:48.898  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:49.287  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:49.699  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:50.081  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:50.474  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:50.875  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:51.283  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:51.674  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:52.078  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:52.464  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:52.858  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:53.263  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
grasp glass seed 1009: 13 obs, success=True, 1.9 min
01:53.925  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:54.318  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:54.715  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:55.095  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:55.490  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:55.885  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:56.272  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:56.674  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:57.101  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:57.491  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:57.884  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:58.284  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:58.691  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:59.091  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
01:59.500  render           | Saved: '/tmp/clearvla_h1_glass_96197.png'
