01:37.811  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:38.214  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:38.620  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:39.024  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:39.428  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:39.829  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:40.230  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:40.642  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:41.031  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:41.425  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:41.823  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:42.228  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:42.621  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1008: 13 obs, success=True, 1.7 min
01:43.311  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:43.703  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:44.099  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:44.489  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:44.888  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:45.283  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:45.702  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:46.096  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:46.475  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:46.877  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:47.275  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:47.674  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:48.072  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:48.471  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:48.880  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:49.272  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:49.670  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:50.062  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:50.458  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:50.858  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:51.265  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:51.657  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:52.058  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:52.447  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:52.839  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:53.244  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
grasp opaque seed 1009: 13 obs, success=True, 1.9 min
01:53.906  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:54.299  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:54.697  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
01:55.079  render           | Saved: '/tmp/clearvla_h1_opaque_96196.png'
