01:32.923  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:33.321  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:33.706  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:34.116  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:34.806  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:35.206  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:35.616  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:36.044  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:36.448  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:36.837  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:37.252  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:37.692  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:38.129  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:38.572  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:39.007  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:39.432  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:39.843  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:40.269  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:40.672  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:41.091  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:41.509  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:41.944  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:42.373  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:42.795  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:43.211  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:43.619  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:44.002  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:44.401  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:44.786  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:45.434  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:45.825  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:46.230  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:46.635  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:47.071  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:47.508  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:47.937  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:48.375  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:48.795  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:49.215  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:49.646  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:50.092  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:50.526  render           | Saved: '/tmp/clearvla_render_opaque.png'
01:50.970  render           | Saved: '/tmp/clearvla_render_opaque.png'
