01:32.525  render           | Saved: '/tmp/clearvla_render_glass.png'
01:32.938  render           | Saved: '/tmp/clearvla_render_glass.png'
01:33.351  render           | Saved: '/tmp/clearvla_render_glass.png'
01:33.741  render           | Saved: '/tmp/clearvla_render_glass.png'
01:34.131  render           | Saved: '/tmp/clearvla_render_glass.png'
01:34.816  render           | Saved: '/tmp/clearvla_render_glass.png'
01:35.226  render           | Saved: '/tmp/clearvla_render_glass.png'
01:35.623  render           | Saved: '/tmp/clearvla_render_glass.png'
01:36.063  render           | Saved: '/tmp/clearvla_render_glass.png'
01:36.466  render           | Saved: '/tmp/clearvla_render_glass.png'
01:36.857  render           | Saved: '/tmp/clearvla_render_glass.png'
01:37.256  render           | Saved: '/tmp/clearvla_render_glass.png'
01:37.695  render           | Saved: '/tmp/clearvla_render_glass.png'
01:38.130  render           | Saved: '/tmp/clearvla_render_glass.png'
01:38.572  render           | Saved: '/tmp/clearvla_render_glass.png'
01:39.008  render           | Saved: '/tmp/clearvla_render_glass.png'
01:39.439  render           | Saved: '/tmp/clearvla_render_glass.png'
01:39.862  render           | Saved: '/tmp/clearvla_render_glass.png'
01:40.280  render           | Saved: '/tmp/clearvla_render_glass.png'
01:40.692  render           | Saved: '/tmp/clearvla_render_glass.png'
01:41.105  render           | Saved: '/tmp/clearvla_render_glass.png'
01:41.515  render           | Saved: '/tmp/clearvla_render_glass.png'
01:41.944  render           | Saved: '/tmp/clearvla_render_glass.png'
01:42.384  render           | Saved: '/tmp/clearvla_render_glass.png'
01:42.806  render           | Saved: '/tmp/clearvla_render_glass.png'
01:43.221  render           | Saved: '/tmp/clearvla_render_glass.png'
01:43.638  render           | Saved: '/tmp/clearvla_render_glass.png'
01:44.024  render           | Saved: '/tmp/clearvla_render_glass.png'
01:44.430  render           | Saved: '/tmp/clearvla_render_glass.png'
01:44.815  render           | Saved: '/tmp/clearvla_render_glass.png'
01:45.195  render           | Saved: '/tmp/clearvla_render_glass.png'
01:45.855  render           | Saved: '/tmp/clearvla_render_glass.png'
01:46.253  render           | Saved: '/tmp/clearvla_render_glass.png'
01:46.653  render           | Saved: '/tmp/clearvla_render_glass.png'
01:47.073  render           | Saved: '/tmp/clearvla_render_glass.png'
01:47.508  render           | Saved: '/tmp/clearvla_render_glass.png'
01:47.939  render           | Saved: '/tmp/clearvla_render_glass.png'
01:48.376  render           | Saved: '/tmp/clearvla_render_glass.png'
01:48.780  render           | Saved: '/tmp/clearvla_render_glass.png'
01:49.214  render           | Saved: '/tmp/clearvla_render_glass.png'
01:49.646  render           | Saved: '/tmp/clearvla_render_glass.png'
01:50.092  render           | Saved: '/tmp/clearvla_render_glass.png'
01:50.528  render           | Saved: '/tmp/clearvla_render_glass.png'
01:50.970  render           | Saved: '/tmp/clearvla_render_glass.png'
