train 88534 frames / 2520 episodes; val 6148 frames
params: 30.381M
{'step': 10900, 'loss': 0.06749753512442112, 'lr': 8.244921105761756e-05, 'gn': 1.596846580505371, 'it_s': 1.1428554629993326}
{'step': 11000, 'loss': 0.06888875707983971, 'lr': 8.211855863706655e-05, 'gn': 0.8457790017127991, 'it_s': 1.1398430865393954}
  val 0.0399
{'step': 11100, 'loss': 0.0658326880261302, 'lr': 8.178559092636485e-05, 'gn': 0.8744034767150879, 'it_s': 1.136421483354399}
{'step': 11200, 'loss': 0.06408151213079691, 'lr': 8.14503363531613e-05, 'gn': 1.1189888715744019, 'it_s': 1.1339586461631646}
{'step': 11300, 'loss': 0.06425244752317667, 'lr': 8.111282354034922e-05, 'gn': 0.8452695608139038, 'it_s': 1.1312288310566372}
{'step': 11400, 'loss': 0.060215708799660206, 'lr': 8.077308130362274e-05, 'gn': 0.8920360803604126, 'it_s': 1.1286863968953298}
{'step': 11500, 'loss': 0.06118887886404991, 'lr': 8.043113864901664e-05, 'gn': 0.951181173324585, 'it_s': 1.1267197233757758}
{'step': 11600, 'loss': 0.05971378345042467, 'lr': 8.008702477042986e-05, 'gn': 0.9945127964019775, 'it_s': 1.124651205032048}
{'step': 11700, 'loss': 0.06403606429696083, 'lr': 7.974076904713303e-05, 'gn': 1.106764554977417, 'it_s': 1.12262934197681}
{'step': 11800, 'loss': 0.0638905917108059, 'lr': 7.939240104126023e-05, 'gn': 1.0140628814697266, 'it_s': 1.1208025018999346}
{'step': 11900, 'loss': 0.06170487381517887, 'lr': 7.904195049528498e-05, 'gn': 0.9979042410850525, 'it_s': 1.1187616273902803}
{'step': 12000, 'loss': 0.06619043905287982, 'lr': 7.868944732948101e-05, 'gn': 1.0203813314437866, 'it_s': 1.1168967609018365}
  val 0.0396
{'step': 12100, 'loss': 0.06404974665492773, 'lr': 7.833492163936774e-05, 'gn': 1.0131887197494507, 'it_s': 1.1151523847180622}
{'step': 12200, 'loss': 0.07241894043982029, 'lr': 7.797840369314081e-05, 'gn': 0.9113292694091797, 'it_s': 1.1158784033825433}
