04:13.760  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:14.401  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:15.009  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:15.587  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:16.391  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:18.322  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:18.859  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:19.390  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:19.997  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:20.574  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:21.223  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:21.710  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:22.277  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:24.627  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:25.264  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:26.918  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:27.647  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:28.373  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:29.200  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:30.169  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:31.030  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:31.799  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:32.407  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:32.944  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:33.585  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:34.269  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:34.943  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:35.612  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:36.297  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:36.975  render           | Saved: '/tmp/clearvla_render_glass_front.png'
04:37.631  render           | Saved: '/tmp/clearvla_render_glass_front.png'
