train 27716 frames / 810 episodes; val 3094 frames
params: 30.281M
/Users/yogyamehrotra/Desktop/ClearVLA/data/dataset.py:64: UserWarning: The given NumPy array is not writable, and PyTorch does not support non-writable tensors. This means writing to this tensor will result in undefined behavior. You may want to copy the array to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /Users/runner/work/pytorch/pytorch/torch/csrc/utils/tensor_numpy.cpp:219.)
  vis = torch.from_numpy(np.asarray(self._mm(t, m)[row]))                                   # (196,768) fp16
{'step': 10600, 'loss': 0.04072415515780449, 'lr': 9.174193057761394e-05, 'gn': 0.6457512378692627, 'it_s': 2.6964919403203425}
{'step': 10700, 'loss': 0.039683679193258284, 'lr': 9.157459938150713e-05, 'gn': 0.7251132130622864, 'it_s': 2.696667193589508}
{'step': 10800, 'loss': 0.04347357792779803, 'lr': 9.140576474687264e-05, 'gn': 0.9582218527793884, 'it_s': 2.6967617421523893}
{'step': 10900, 'loss': 0.04229796903207898, 'lr': 9.123543361384103e-05, 'gn': 0.6072703003883362, 'it_s': 2.696424894742565}
{'step': 11000, 'loss': 0.04649255311116576, 'lr': 9.106361298405805e-05, 'gn': 0.8779774904251099, 'it_s': 2.6956565842964504}
  val 0.0259
{'step': 11100, 'loss': 0.043454147297889, 'lr': 9.08903099203968e-05, 'gn': 0.6252129077911377, 'it_s': 2.693259659828514}
{'step': 11200, 'loss': 0.04342083003371954, 'lr': 9.071553154666747e-05, 'gn': 0.9236721396446228, 'it_s': 2.692754570652211}
{'step': 11300, 'loss': 0.0459522121027112, 'lr': 9.05392850473244e-05, 'gn': 0.7299811840057373, 'it_s': 2.6925528287633775}
{'step': 11400, 'loss': 0.042922187373042105, 'lr': 9.036157766717092e-05, 'gn': 0.7890318036079407, 'it_s': 2.6927718921395414}
{'step': 11500, 'loss': 0.044074414260685445, 'lr': 9.018241671106135e-05, 'gn': 1.3345648050308228, 'it_s': 2.692889284616153}
{'step': 11600, 'loss': 0.04650666931644082, 'lr': 9.000180954360088e-05, 'gn': 0.9015467166900635, 'it_s': 2.6929953964334827}
{'step': 11700, 'loss': 0.04775320719927549, 'lr': 8.98197635888428e-05, 'gn': 0.7780609726905823, 'it_s': 2.692996605508546}
{'step': 11800, 'loss': 0.04828761164098978, 'lr': 8.963628632998328e-05, 'gn': 0.8706226944923401, 'it_s': 2.693786823224991}
